Year,Jurisdiction,FMP,Stock,FSSI,Science Center,Regional Ecosystem,Status Stock?,Assessment Year,Assessment Month,Last Data Year,Record Status,Update Type,Review Type,Assessment Model,Model Version,TimeSeries Data?,Survey Links?,Life History Data,Abundance Data,Catch Data,Assessment Frequency,Adequate,Assessment Level,Citation,Lead Lab,Point of Contact,Comments,Minimum F,Maximum F,Best F,F Year,F Unit,F Basis,Flimit,Flimit Basis,Fmsy,Fmsy Basis,Ftarget,Ftarget Basis,F/Flimit,F/Fmsy,F/Ftarget,Minimum B,Maximum B,Best B,B Year,B Unit,B Basis,Blimit,Blimit Basis,Bmsy,Bmsy Basis,B/Blimit,B/Bmsy,MSY,MSY Unit,Stock Level Relative to Bmsy,Final assessment report,Assessment working paper,Assessment model input and out file,Assessment review document (including CIE and SSC),Citable Evaluation Document (for non-assessed stocks in support of status determinations),Decision memo related to status determinations,Other,Decision memo related to inadequate rebuilding progress
2020,NEFMC,Northeast Skate Complex,Barndoor skate - Georges Bank / Southern New England | Asmt & Status,N,NEFSC,Northeast Shelf,Y,2020,8,2018,Draft,Full Update,Full acceptance,Index Method,Survey CPUE,Y,Y,2,1,0,2,0,1,"2017 NE Skate Stock Status Update , K. Sosebee , 8/31/2018",NEFSC,Katherine Sosebee,,,,11.39999962,2019,% Change in Survey CPUE,Change in Relative Abundance,-30,% change,,,,,0,,,,,2.019999981,2019,kg/tow,Survey CPUE - 3 Year Average,0.779999971,half avg survey CPUE,1.570000052,avg survey CPUE,2.589999914,1.286999941,,,ABOVE,,,,,,,,
2020,NEFMC,Northeast Skate Complex,Clearnose skate - Southern New England / Mid-Atlantic | Asmt & Status,N,NEFSC,Northeast Shelf,Y,2020,8,2018,Draft,,Full acceptance,Index Method,Average Survey Abundance,Y,Y,,,,,0,,,NEFSC,K. Sosebee,,,,73.09999847,2019,% Change in Survey CPUE,Change in Relative Abundance,-40,%change,,,,,0,,,,,1.049999952,2019,kg / tow,Survey CPUE - 3 Year Average,0.330000013,0.5*Bmsy,0.660000026,Avg. survey CPUE,3.181999922,1.590999961,,,ABOVE,,,,,,,,
2020,NEFMC,Northeast Skate Complex,Little skate - Georges Bank / Southern New England | Asmt & Status,Y,NEFSC,Northeast Shelf,Y,2019,8,2019,Locked,,Full acceptance,Index Method,Average Survey CPUE,Y,Y,,,,,0,,,NEFSC,K. Sosebee,,,,13.39999962,2019,% Change in Survey CPUE,Change in Relative Abundance,-20,%change,,,,,-99999,,,,,5.320000172,2019,Kg / Tow,Survey CPUE - 3 Year Average,3.069999933,0.5*Bmsy,6.150000095,Avg. survey CPUE,1.73300004,0.86500001,,,NEAR,,,,,,,,
2020,NEFMC,Northeast Skate Complex,Rosette skate - Southern New England / Mid-Atlantic | Asmt & Status,N,NEFSC,Northeast Shelf,Y,2020,8,2019,Draft,,Full acceptance,Index Method,Average Survey CPUE,Y,Y,,,,,0,,,NEFSC,K. Sosebee,,,,6.400000095,2019,% Change in Survey CPUE,Change in Relative Abundance,-60,%change,,,,,0,,,,,0.050000001,2019,Kg / Tow,Survey CPUE - 3 Year Average,0.024,0.5*Bmsy,0.048,Avg. survey CPUE,2.082999945,1.042000055,,,ABOVE,,,,,,,,
2020,NEFMC,Northeast Skate Complex,Smooth skate - Gulf of Maine | Asmt & Status,N,NEFSC,Northeast Shelf,Y,2020,8,2019,Draft,,Full acceptance,Index Method,Average Survey CPUE,Y,Y,,,,,0,,,NEFSC,K. Soesbee,,,,0,2018,% Change in Survey CPUE,Change in Relative Abundance,-30,%change,,,,,0,,,,,0.270000011,2018,Kilograms / Tow,Survey CPUE - 3 Year Average,0.135000005,0.5*Bmsy,0.270000011,Avg. survey CPUE,2,1,,,ABOVE,,,,,,,,
2020,NEFMC,Northeast Skate Complex,Thorny skate - Gulf of Maine | Asmt & Status,N,NEFSC,Northeast Shelf,Y,2020,8,2019,Draft,,Full acceptance,Index Method,Average Survey CPUE,Y,Y,,,,,0,,,NEFSC,K. Soesbee,,,,11.39999962,2019,% Change in Survey CPUE,Change in Relative Abundance,-20,%change,,,,,0,,,,,0.180000007,2019,Kilograms / Tow,Survey CPUE - 3 Year Average,2.059999943,0.5*Bmsy,4.130000114,Avg. survey CPUE,0.086999997,0.044,,,BELOW,,,,,,,,
2020,NEFMC,Northeast Skate Complex,Winter skate - Georges Bank / Southern New England | Asmt & Status,Y,NEFSC,Northeast Shelf,Y,2020,8,2019,Draft,,Full acceptance,Index Method,Average Survey CPUE,Y,Y,,,,,0,,,NEFSC,K. Soesbee,,,,19.20000076,2019,% Change in Survey CPUE,Change in Relative Abundance,-20,%change,,,,,0,,,,,8.609999657,2019,Kg / Tow,Survey CPUE - 3 Year Average,2.829999924,0.5*Bmsy,5.659999847,Avg. survey CPUE,3.042000055,1.521000028,,,ABOVE,,,,,,,,
2020,NEFMC / MAFMC,Monkfish,Goosefish - Gulf of Maine / Northern Georges Bank,Y,NEFSC,Northeast Shelf,Y,2019,9,2018,Locked,,Full acceptance,Plan B Smooth,N / A,Y,Y,,,,,0,,,NEFSC,NEFSC,,,,8115,2018,,,17805,2013 Estimated OFL,,,,,0.456,,,,,140801,2018,Metric Tons,Area-swept Biomass,,,,,,,,,UNKNOWN,1,,,,,,,
2020,NEFMC / MAFMC,Monkfish,Goosefish - Southern Georges Bank / Mid-Atlantic,Y,NEFSC,Northeast Shelf,Y,2019,9,2018,Locked,,Full acceptance,Plan B Smooth,N/A,Y,Y,,,,,0,,,NEFSC,NEFSC,,,,9615,2018,Metric Tons,Estimated Total Catch,23204,2013 Estimated OFL,,,,,0.414000005,,,,,26619,2018,Metric Tons,Area-Swept Biomass,,,,,,,,,UNKNOWN,1,,,,,,,
2020,NEFMC / MAFMC,Spiny Dogfish,Spiny dogfish - Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,2018,8,2017,Locked,Full Update,Full acceptance,SCAL,Length-based survey area,Y,Y,3,2,3,1,1,4,"""Update on Status of Spiny  Dogfish in 2015 and projected harvests at Fmsy proxy and Pstar of 40%"" ( by P. Rago, K. Sosebee, Aug. 26, 2015) Submitted to MAFMC SSC Sept., 2015.",NEFSC,James Weinberg,,,,0.202000007,2017,Annual Exploitation Rate,apical F (max F at age),,length based model,0.244000003,length based model,,,,0.828000009,,,,106.8000031,2018,thousand mt (female biomass only),female SSB,79.59999847,0.5*Bmsy,159.3000031,SSBmax,1.342000008,0.670000017,,,BELOW,,,,,,,,
